SCHOOL NAME,SAT Tests Taken,SAT Section Average,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score
BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,65,361,366,364,352
PAUL ROBESON HIGH SCHOOL,53,361,365,363,355
CHRISTOPHER COLUMBUS HIGH SCHOOL,121,361,367,361,353
LEADERSHIP INSTITUTE,30,361,361,353,367
EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,40,360,353,370,356
URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,52,360,360,364,356
ARTS & MEDIA PREPARATORY ACADEMY,48,360,361,360,359
VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,74,359,356,363,356
COMMUNITY SCHOOL FOR SOCIAL JUSTICE,43,359,361,359,357
URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,56,359,360,353,364
FORDHAM HIGH SCHOOL FOR THE ARTS,48,359,355,350,372
SCHOOL FOR EXCELLENCE,32,358,363,360,351
PERFORMANCE CONSERVATORY HIGH SCHOOL,30,358,361,353,360
DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,29,358,352,349,373
UNITY CENTER FOR URBAN TECHNOLOGIES,25,357,370,349,351
FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,20,356,355,355,358
INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,69,355,326,409,329
JAMAICA HIGH SCHOOL,90,355,342,368,353
BRONX THEATRE HIGH SCHOOL,68,355,348,362,354
BROWNSVILLE ACADEMY HIGH SCHOOL,16,355,372,356,335
ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,33,354,354,366,342
ACADEMY OF URBAN PLANNING,67,354,342,364,354
LEGACY SCHOOL FOR INTEGRATED STUDIES,29,354,356,357,349
MANHATTAN BRIDGES HIGH SCHOOL,66,353,336,378,344
"METROPOLITAN HIGH SCHOOL, THE",49,352,347,367,341
BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,23,352,347,358,350
"HERITAGE SCHOOL, THE",31,352,358,351,345
HIGH SCHOOL FOR CIVIL RIGHTS,47,352,363,349,342
JOHN F. KENNEDY HIGH SCHOOL,109,351,351,362,339
"FACING HISTORY SCHOOL, THE",76,351,353,358,340
FLUSHING INTERNATIONAL HIGH SCHOOL,45,350,314,417,318
NEW WORLD HIGH SCHOOL,72,350,332,381,335
BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,39,350,324,376,349
NEW DAY ACADEMY,25,349,348,344,354
ACADEMY OF HOSPITALITY AND TOURISM,57,349,352,342,351
HIGH SCHOOL FOR VIOLIN AND DANCE,27,347,353,315,371
PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES,67,346,337,361,340
MONROE ACADEMY FOR VISUAL ARTS & DESIGN,43,346,332,357,349
BUSHWICK SCHOOL FOR SOCIAL JUSTICE,75,345,348,353,334
EL PUENTE ACADEMY FOR PEACE AND JUSTICE,28,345,359,335,341
BUSHWICK COMMUNITY HIGH SCHOOL,24,345,359,317,358
SATELLITE ACADEMY HIGH SCHOOL,33,344,350,337,345
ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),38,343,343,356,330
HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,73,343,338,349,340
FANNIE LOU HAMER FREEDOM HIGH SCHOOL,72,343,342,346,341
METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,17,343,350,346,332
INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,54,342,326,386,314
GRACE DODGE YABC,10,341,350,356,317
FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,37,341,341,349,333
BROOKLYN DEMOCRACY ACADEMY,11,340,349,338,331
GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,56,338,339,349,326
HARLEM RENAISSANCE HIGH SCHOOL,29,336,357,318,333
ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,7,331,311,371,311
PACIFIC HIGH SCHOOL,9,331,352,341,300
BROOKLYN INTERNATIONAL HIGH SCHOOL,90,327,305,364,312
PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,30,324,321,351,298
BRONX INTERNATIONAL HIGH SCHOOL,49,322,314,312,339
KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,52,321,304,356,302
IT TAKES A VILLAGE ACADEMY,56,321,313,320,330
ACADEMY FOR LANGUAGE AND TECHNOLOGY,54,317,315,339,297
PAN AMERICAN INTERNATIONAL HIGH SCHOOL,55,317,317,323,311
INTERNATIONAL COMMUNITY HIGH SCHOOL,34,315,310,324,311
HIGH SCHOOL OF WORLD CULTURES,42,313,304,323,312
INTERNATIONAL SCHOOL FOR LIBERAL ARTS,49,312,300,333,301
INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,71,305,287,335,291
MULTICULTURAL HIGH SCHOOL,29,296,279,322,286
