SCHOOL NAME,SAT Tests Taken,SAT Section Average,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score
"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",80,430,411,464,415
PELHAM PREPARATORY ACADEMY,76,430,431,438,419
GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,59,429,436,427,424
ACADEMY OF FINANCE AND ENTERPRISE,89,427,405,454,421
PORT RICHMOND HIGH SCHOOL,271,427,424,438,417
"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",175,427,425,434,420
NEW DORP HIGH SCHOOL,391,426,424,437,416
HIGH SCHOOL OF ARTS AND TECHNOLOGY,75,426,433,433,411
WILLIAM CULLEN BRYANT HIGH SCHOOL,395,425,414,449,412
HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,79,425,418,441,414
NEW UTRECHT HIGH SCHOOL,456,424,402,471,399
EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,59,424,416,463,392
QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,155,424,417,447,406
CITY COLLEGE ACADEMY OF THE ARTS,60,424,408,446,416
"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",52,424,423,420,427
SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,8,424,430,416,425
"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,423,404,449,416
BRONX HIGH SCHOOL FOR THE VISUAL ARTS,48,423,419,433,416
QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,68,422,420,445,400
ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,93,422,423,426,416
JOHN DEWEY HIGH SCHOOL,448,421,404,468,390
MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,99,421,414,435,414
BROOKLYN HIGH SCHOOL OF THE ARTS,141,420,426,421,411
ACADEMY FOR CAREERS IN TELEVISION AND FILM,98,419,410,440,405
HOSTOSsLINCOLN ACADEMY OF SCIENCE,66,419,420,426,411
DEWITT CLINTON HIGH SCHOOL,443,419,419,426,410
THE HIGH SCHOOL OF FASHION INDUSTRIES,335,419,423,423,411
HUMANITIES PREPARATORY ACADEMY,36,419,426,403,426
CHANNEL VIEW SCHOOL FOR RESEARCH,74,418,432,419,401
REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,42,418,429,404,420
BRONX LATIN,36,417,408,432,411
CLARA BARTON HIGH SCHOOL,259,417,425,413,413
CASCADES HIGH SCHOOL,18,416,417,418,411
FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,385,415,383,486,375
JOHN BOWNE HIGH SCHOOL,558,415,397,451,395
MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,264,414,407,440,393
HERBERT H. LEHMAN HIGH SCHOOL,415,414,412,436,393
EAST NEW YORK FAMILY ACADEMY,54,414,416,432,394
CIVIC LEADERSHIP ACADEMY,69,414,404,429,407
INFORMATION TECHNOLOGY HIGH SCHOOL,148,413,407,434,398
RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,54,413,402,427,408
JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,131,413,414,425,400
LIFE SCIENCES SECONDARY SCHOOL,61,412,409,424,403
RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,94,412,416,422,397
LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,84,411,416,426,391
ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,9,411,439,374,418
MANHATTAN INTERNATIONAL HIGH SCHOOL,49,409,376,460,391
ABRAHAM LINCOLN HIGH SCHOOL,475,409,396,437,393
HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,24,408,400,422,402
"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",80,408,404,418,402
BELMONT PREPARATORY HIGH SCHOOL,51,408,404,418,400
"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",78,407,400,426,394
CENTRAL PARK EAST HIGH SCHOOL,73,407,405,421,395
BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,64,407,400,419,402
HIGH SCHOOL OF APPLIED COMMUNICATION,39,407,406,413,400
FLUSHING HIGH SCHOOL,347,406,393,441,382
LONG ISLAND CITY HIGH SCHOOL,392,406,403,420,395
"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",142,405,398,421,396
THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,77,404,405,423,384
GROVER CLEVELAND HIGH SCHOOL,241,404,395,420,396
"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",92,404,399,417,395
SCHOOL FOR INTERNATIONAL STUDIES,64,404,405,415,392
MOTT HALL HIGH SCHOOL,54,404,413,399,398
MARTA VALLE HIGH SCHOOL,44,403,390,433,384
CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,83,403,399,418,390
LOWER EAST SIDE PREPARATORY HIGH SCHOOL,112,402,332,557,316
MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,121,402,345,517,343
THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,105,402,400,417,389
SCHOOL FOR LEGAL STUDIES,134,402,413,396,395
NEWTOWN HIGH SCHOOL,320,401,383,440,380
SECONDARY SCHOOL FOR LAW,59,401,398,411,394
THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,66,401,396,402,404
EXCELSIOR PREPARATORY HIGH SCHOOL,49,401,402,398,402
UNIVERSITY HEIGHTS SECONDARY SCHOOL,79,401,403,394,404
BRONX ACADEMY OF LETTERS,51,401,413,381,407
VANGUARD HIGH SCHOOL,72,400,395,416,388
INNOVATION DIPLOMA PLUS,12,400,416,403,381
LOWER MANHATTAN ARTS ACADEMY,40,400,403,392,405
GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY,41,400,416,390,394
TEACHERS PREPARATORY HIGH SCHOOL,69,399,392,416,388
GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,61,399,398,412,385
HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,74,399,406,406,384
"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",66,399,396,398,402
RICHARD R. GREEN HIGH SCHOOL OF TEACHING,84,399,408,384,403
BROOKLYN ACADEMY HIGH SCHOOL,8,399,435,383,379
TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,182,398,395,418,380
HILLCREST HIGH SCHOOL,462,398,395,413,386
JOHN ADAMS HIGH SCHOOL,403,398,391,409,392
FOOD AND FINANCE HIGH SCHOOL,62,398,409,393,392
FREEDOM ACADEMY HIGH SCHOOL,29,398,400,390,403
MANHATTAN THEATRE LAB HIGH SCHOOL,27,398,406,379,408
EAST BROOKLYN COMMUNITY HIGH SCHOOL,12,397,410,403,378
THEATRE ARTS PRODUCTION COMPANY SCHOOL,59,397,405,391,394
GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,85,397,406,391,392
GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,41,397,407,386,396
EMMA LAZARUS HIGH SCHOOL,79,396,319,512,357
WILLIAMSBURG PREPARATORY SCHOOL,113,396,397,410,380
FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,64,396,399,396,391
"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",69,396,408,390,390
HERBERT H. LEHMAN YABC,6,396,402,373,413
SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,47,395,398,416,370
WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,95,395,394,414,376
BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,60,395,389,409,387
COBBLE HILL SCHOOL OF AMERICAN STUDIES,77,395,398,402,385
HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,37,395,404,393,386
BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,13,395,398,391,394
URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,44,394,387,411,383
INsTECH ACADEMY (M.S. / HIGH SCHOOL 368),111,394,390,408,383
KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),61,394,392,401,387
47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16,394,395,400,387
BRONX SCHOOL OF LAW AND FINANCE,54,394,402,395,385
BRONX REGIONAL HIGH SCHOOL,16,394,398,385,398
NORTH QUEENS COMMUNITY HIGH SCHOOL,7,393,379,421,377
QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,6,393,403,408,367
BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,76,393,393,399,387
MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,58,393,399,393,385
PARK SLOPE COLLEGIATE,72,392,379,416,380
HIGH SCHOOL FOR ARTS AND BUSINESS,138,392,391,403,380
FORSYTH SATELLITE ACADEMY,7,392,414,401,359
WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,70,392,380,395,399
GRAMERCY ARTS HIGH SCHOOL,60,392,391,391,394
THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,46,392,403,385,388
UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,391,383,423,366
MARTIN VAN BUREN HIGH SCHOOL,334,391,391,397,384
PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,46,391,401,397,375
WOMEN'S ACADEMY OF EXCELLENCE,44,391,407,386,378
HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL,9,391,404,368,399
LANDMARK HIGH SCHOOL,62,390,390,399,381
NEW DESIGN HIGH SCHOOL,73,390,391,395,382
CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,33,390,393,395,381
EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,50,390,393,394,382
ASTOR COLLEGIATE ACADEMY,60,390,387,391,391
SECONDARY SCHOOL FOR JOURNALISM,58,390,397,391,381
QUEENS ACADEMY HIGH SCHOOL,17,390,398,382,388
BRONX LEADERSHIP ACADEMY HIGH SCHOOL,114,389,384,394,388
MILLENNIUM ART ACADEMY,67,388,387,402,375
HIGH SCHOOL OF SPORTS MANAGEMENT,39,388,388,398,378
BRONX AEROSPACE HIGH SCHOOL,46,388,388,393,382
HIGH SCHOOL FOR MEDICAL PROFESSIONS,75,387,386,380,393
LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,26,386,368,436,352
WEST BRONX ACADEMY FOR THE FUTURE,26,386,382,406,370
"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",44,386,391,401,364
"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",38,386,383,400,374
ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,76,386,394,400,364
"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",79,386,382,393,382
RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY,52,386,384,385,389
ESSEX STREET ACADEMY,53,386,394,384,378
EBC HIGH SCHOOL FOR PUBLIC SERVICE–BUSHWICK,88,385,384,409,361
SCHOOL FOR DEMOCRACY AND LEADERSHIP,38,385,377,404,372
